Aulas,Coordenadas ,DESCRIPCION
Cc1,"-17.39074406436575, -66.06883131361198",Ingenieria/Arquitectura
Cc2,"-17.3906892742238, -66.06878984748816",
Cc2,"-17.39063144016728, -66.06876592472442",
Cc4,"-17.3905766499916, -66.06872924315336",
C1,"-17.390323708504397, -66.06889866631738",Medicina
C2,"-17.390356286984805, -66.06883512994747",
C3,"-17.390399724949642, -66.06878486983396",
C4,"-17.39042234888558, -66.06873460972047",
D1,"-17.390546571584565, -66.0685049906212",Arquitectura
D2,"-17.390530428868455, -66.06852754521915",
D3,"-17.390499219613282, -66.06857603760476",
D4,"-17.390473391260144, -66.06862565772028",
D5,"-17.390456253579767, -66.06866174424653",
A 1,"-17.390792458523446, -66.06898379479763",MEDICINA
A 2,"-17.39083725153241, -66.06890869295022",
 A3,"-17.39102474171155, -66.06875205134645",
Chicas,"-17.390352858897295, -66.06840913357988",AREAS DE SANIDAD
Chicos,"-17.390360392172315, -66.06835274708499",
,,AREAS DE COMVIVENCIA
Piscina ,"-17.390460477082208, -66.0681858430601",
Comedor,"-17.39049366775807, -66.06783855378008",
Jefaturas,"-17.390639907505015, -66.0681685266774",Jefaturas
Biblioteca,"-17.390906920927275, -66.06843625061808",Biblioteca
Cajas-Ventanilla Unica,"-17.39078854120929, -66.06845203883664",Cajas-Ventanilla Unica
Cartera,"-17.390610704031612, -66.06833444561231",Cartera
Sala Audio Visual,"-17.390940452135812, -66.06870538980458",Sala Audio Visual
Fotocopiadora,"-17.390888795550488, -66.06875162673037",Fotocopiadora
Informacion y Marqueting,"-17.390873729043694, -66.0688508669614",Informacion y Marqueting
Apoyo Académico ,"-17.390668,-66.068416",Apoyo Academico
Sala de Estudiantes,"-17.390635,-66.068388",Sala de Estudiantes
Cartera,"-17.390620,-66.068343",Cartera
Aulas Docente,"17.390631,-66.068337",Aulas Docente
Aula T3,"-17.390707,-66.068341",Aula T3
Laboratorio de Telecom,"-17.390709,-66.068333",Laboratario de Telecom
Secretaria Regional,"-17.390726,-66.068352",Secretaria Regional
Aula G-15,"-17.390700,-66.068357",Aula G-15
Soporte Tecnico,,Soporte Tecnico
Administracion de Redes,,Administracion de Redes
Sala de Investigacion,"-17.390681,-66.068340",Sala de Investigacion
Aula G-2,"17.390724,-66.068190",Aula G-2
Aula G-3,"17.390724,-66.068190",Aula G-3
Aula G-4,"17.390724,-66.068190",Aula G-4
Aula G-10,"17.390724,-66.068190",Aula G-10
Aula G-5,"-17.390737,-66.068359",Aula G-5
Aula G-9,"-17.390737,-66.068359",Aula G-9
Aula G-7,"-17.390709,-66.068429",Aula G-7
Aula G-6,"-17.390709,-66.068429",Aula G-6
Baños Administrativo ,"-17.390709,-66.068429",Baño Administrador
Aula G-12,"17.390574,-66.068275",Aula G-12
Aula G-16,"17.390649,-66.068302",Aula G-16
Aula G-19,"-17.390693,-66.068328",Aula G-19
Aula G-18,"17.390730,-66.068350",Aula G-18
Aula G-17,"17.390730,-66.068350",Aula G-17